subject,backward,forward,cca1,cca2,cca2plus,cca3
1,0.090486,0.125553,0.128998,0.103173,0.167810,0.193941
2,0.101086,0.125508,0.116379,0.026790,0.119580,0.144773
3,0.072930,0.093259,0.096300,0.081936,0.127493,0.152185
4,0.159346,0.193378,0.198408,0.187601,0.267365,0.335214
5,0.179125,0.213705,0.205088,0.273398,0.284437,0.374074
6,0.141873,0.165418,0.158562,0.105714,0.188178,0.216364
7,0.051911,0.058923,0.056945,0.097028,0.083010,0.130235
8,0.146607,0.172348,0.176840,0.092411,0.190505,0.235478
9,0.123851,0.151388,0.153221,0.171360,0.194730,0.302894
10,0.162855,0.207515,0.187757,0.171574,0.228607,0.261679
